Sno,Name,Price,Orders,Date
1,Biryani,150,77,2022-07-25
2,Shawarma,120,67,2022-07-25
3,Appam,30,197,2022-07-25
4,Dosa,70,206,2022-07-25
5,Paratha,40,315,2022-07-25
6,Samosa,20,93,2022-07-25
7,Chicken Curry,140,84,2022-07-25
8,Paneer Tikka,180,47,2022-07-25
9,Mutton Biryani,250,62,2022-07-25
10,Rasam,70,72,2022-07-25
11,Palak Paneer,160,51,2022-07-25
12,Fried Rice,130,69,2022-07-25
13,Gulab Jamun,80,34,2022-07-25
14,Chicken 65,160,79,2022-07-25
15,Butter Chicken,200,87,2022-07-25
16,Veg Meals,110,82,2022-07-25
17,Chappathi,50,320,2022-07-25
18,Aloo Gobi,140,44,2022-07-25
19,Kadai Chicken,200,69,2022-07-25
20,Fish Curry,140,79,2022-07-25
1,Biryani,150,74,2022-07-26
2,Shawarma,120,67,2022-07-26
3,Appam,30,208,2022-07-26
4,Dosa,70,212,2022-07-26
5,Paratha,40,297,2022-07-26
6,Samosa,20,108,2022-07-26
7,Chicken Curry,140,78,2022-07-26
8,Paneer Tikka,180,46,2022-07-26
9,Mutton Biryani,250,57,2022-07-26
10,Rasam,70,70,2022-07-26
11,Palak Paneer,160,47,2022-07-26
12,Fried Rice,130,49,2022-07-26
13,Gulab Jamun,80,55,2022-07-26
14,Chicken 65,160,64,2022-07-26
15,Butter Chicken,200,74,2022-07-26
16,Veg Meals,110,102,2022-07-26
17,Chappathi,50,296,2022-07-26
18,Aloo Gobi,140,59,2022-07-26
19,Kadai Chicken,200,84,2022-07-26
20,Fish Curry,140,74,2022-07-26
1,Biryani,150,70,2022-07-27
2,Shawarma,120,61,2022-07-27
3,Appam,30,207,2022-07-27
4,Dosa,70,228,2022-07-27
5,Paratha,40,314,2022-07-27
6,Samosa,20,100,2022-07-27
7,Chicken Curry,140,84,2022-07-27
8,Paneer Tikka,180,55,2022-07-27
9,Mutton Biryani,250,52,2022-07-27
10,Rasam,70,95,2022-07-27
11,Palak Paneer,160,63,2022-07-27
12,Fried Rice,130,62,2022-07-27
13,Gulab Jamun,80,29,2022-07-27
14,Chicken 65,160,84,2022-07-27
15,Butter Chicken,200,74,2022-07-27
16,Veg Meals,110,93,2022-07-27
17,Chappathi,50,312,2022-07-27
18,Aloo Gobi,140,57,2022-07-27
19,Kadai Chicken,200,79,2022-07-27
20,Fish Curry,140,69,2022-07-27
1,Biryani,150,70,2022-07-28
2,Shawarma,120,56,2022-07-28
3,Appam,30,208,2022-07-28
4,Dosa,70,210,2022-07-28
5,Paratha,40,288,2022-07-28
6,Samosa,20,100,2022-07-28
7,Chicken Curry,140,81,2022-07-28
8,Paneer Tikka,180,47,2022-07-28
9,Mutton Biryani,250,48,2022-07-28
10,Rasam,70,77,2022-07-28
11,Palak Paneer,160,43,2022-07-28
12,Fried Rice,130,76,2022-07-28
13,Gulab Jamun,80,43,2022-07-28
14,Chicken 65,160,65,2022-07-28
15,Butter Chicken,200,78,2022-07-28
16,Veg Meals,110,94,2022-07-28
17,Chappathi,50,313,2022-07-28
18,Aloo Gobi,140,46,2022-07-28
19,Kadai Chicken,200,86,2022-07-28
20,Fish Curry,140,68,2022-07-28
1,Biryani,150,83,2022-07-29
2,Shawarma,120,59,2022-07-29
3,Appam,30,195,2022-07-29
4,Dosa,70,209,2022-07-29
5,Paratha,40,296,2022-07-29
6,Samosa,20,100,2022-07-29
7,Chicken Curry,140,93,2022-07-29
8,Paneer Tikka,180,50,2022-07-29
9,Mutton Biryani,250,70,2022-07-29
10,Rasam,70,80,2022-07-29
11,Palak Paneer,160,44,2022-07-29
12,Fried Rice,130,42,2022-07-29
13,Gulab Jamun,80,41,2022-07-29
14,Chicken 65,160,91,2022-07-29
15,Butter Chicken,200,93,2022-07-29
16,Veg Meals,110,84,2022-07-29
17,Chappathi,50,303,2022-07-29
18,Aloo Gobi,140,31,2022-07-29
19,Kadai Chicken,200,83,2022-07-29
20,Fish Curry,140,62,2022-07-29
1,Biryani,150,122,2022-07-30
2,Shawarma,120,68,2022-07-30
3,Appam,30,199,2022-07-30
4,Dosa,70,203,2022-07-30
5,Paratha,40,338,2022-07-30
6,Samosa,20,74,2022-07-30
7,Chicken Curry,140,102,2022-07-30
8,Paneer Tikka,180,45,2022-07-30
9,Mutton Biryani,250,59,2022-07-30
10,Rasam,70,95,2022-07-30
11,Palak Paneer,160,42,2022-07-30
12,Fried Rice,130,44,2022-07-30
13,Gulab Jamun,80,40,2022-07-30
14,Chicken 65,160,94,2022-07-30
15,Butter Chicken,200,97,2022-07-30
16,Veg Meals,110,78,2022-07-30
17,Chappathi,50,338,2022-07-30
18,Aloo Gobi,140,48,2022-07-30
19,Kadai Chicken,200,83,2022-07-30
20,Fish Curry,140,91,2022-07-30
1,Biryani,150,125,2022-07-31
